,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
13,14," Gordon, D",MIA, ,543829,2B,158,653,114,201,20,9,2,33,25,93,60,16,.308,.341,.375,.716,0,10,2,4,245,31,7,247,125,1.98,2397,695
14,15," Freeman, F",ATL, ,518692,1B,117,440,84,135,35,2,28,71,65,95,8,5,.307,.403,.586,.989,14,7,0,2,258,65,9,102,119,0.86,1929,514
15,16," Pham, T",STL, ,502054,LF,128,444,95,136,22,2,23,73,71,117,25,7,.306,.411,.520,.931,0,10,2,3,231,47,18,143,71,2.01,2120,530
16,17," Trout, M",LAA, ,545361,CF,114,402,92,123,25,3,33,72,94,90,22,4,.306,.442,.629,1.071,15,7,0,4,253,61,8,89,112,0.79,2127,507
17,18," Mauer, J",MIN, ,408045,1B,141,525,69,160,36,1,7,71,66,83,2,1,.305,.384,.417,.801,3,3,0,3,219,44,17,186,116,1.60,2601,597
18,19," Abreu, J",CWS, ,547989,1B,156,621,95,189,43,6,33,102,35,119,3,0,.304,.354,.552,.906,6,15,0,4,343,82,21,180,158,1.14,2560,675
19,20," Inciarte, E",ATL, ,542255,CF,157,662,93,201,27,5,11,57,49,94,22,9,.304,.350,.409,.759,3,0,3,4,271,43,8,214,168,1.27,2539,718
20,21," Zimmerman, R",WSH, ,475582,1B,144,524,90,159,33,0,36,108,44,126,1,0,.303,.358,.573,.930,1,3,0,5,300,69,16,151,109,1.39,2222,576
21,22," Gonzalez, M",HOU, ,503556,LF,134,455,67,138,34,0,23,90,49,99,8,3,.303,.377,.530,.907,4,6,3,2,241,57,8,129,102,1.26,2114,515
22,23," Rendon, A",WSH, ,543685,3B,147,508,81,153,41,1,25,100,84,82,7,2,.301,.403,.533,.937,6,7,0,6,271,67,7,105,181,0.58,2645,605
23,24," Cain, L",KC, ,456715,CF,155,584,86,175,27,5,15,49,54,100,26,2,.300,.363,.440,.803,1,5,0,2,257,47,20,178,153,1.16,2515,645
24,25," Segura, J",SEA, ,516416,SS,125,524,80,157,30,2,11,45,34,83,22,8,.300,.349,.427,.776,3,6,0,1,224,43,14,180,119,1.51,2186,566
25,26," Gurriel, Y",HOU, ,493329,1B,139,529,69,158,43,1,18,75,22,62,3,2,.299,.332,.486,.817,1,7,0,6,257,62,12,170,157,1.08,1933,564
26,27," Goldschmidt, P",ARI, ,502671,1B,155,558,117,166,34,3,36,120,94,147,18,5,.297,.404,.563,.966,15,8,0,4,314,73,14,143,120,1.19,2762,665
27,28," Andrus, E",TEX, ,462101,SS,158,643,100,191,44,4,20,88,38,101,25,10,.297,.337,.471,.808,0,3,1,4,303,68,18,206,168,1.23,2547,689
28,29," Cozart, Z",CIN, ,446359,SS,122,438,80,130,24,7,24,63,62,78,3,0,.297,.385,.548,.933,0,3,0,4,240,55,5,106,133,0.80,2125,507
29,30," Bryant, K",CHC, ,592178,3B,151,549,111,162,38,4,29,73,95,128,7,5,.295,.409,.537,.946,5,15,0,6,295,71,8,128,145,0.88,2652,665
30,31," Seager, C",LAD, ,608369,SS,145,539,85,159,33,0,22,77,67,131,4,2,.295,.375,.479,.854,5,4,0,3,258,55,14,147,119,1.24,2240,613
31,32," Hernandez, C",PHI, ,514917,2B,128,511,85,150,26,6,9,34,61,104,15,5,.294,.373,.421,.793,1,4,0,1,215,41,8,155,111,1.40,2316,577
32,33," Peralta, D",ARI, ,444482,RF,140,525,82,154,31,3,14,57,43,94,8,4,.293,.352,.444,.796,1,6,0,3,233,48,7,177,110,1.61,2144,577
33,34," Mancini, T",BAL, ,641820,LF,147,543,65,159,26,4,24,78,33,139,1,0,.293,.338,.488,.826,1,6,0,4,265,54,12,154,107,1.44,2280,586
34,35," Schoop, J",BAL, ,570731,2B,160,622,92,182,35,0,32,105,35,142,1,0,.293,.338,.503,.841,0,11,0,7,313,67,20,167,158,1.06,2544,675
35,36," Rosario, E",MIN, ,592696,LF,151,542,79,157,33,2,27,78,35,106,9,8,.290,.328,.507,.836,1,0,4,8,275,62,10,155,146,1.06,2155,589
36,37," Taylor, C",LAD, ,621035,LF,140,514,85,148,34,5,21,72,50,142,17,4,.288,.354,.496,.850,0,3,0,1,255,60,2,112,115,0.97,2268,568
37,38," Merrifield, W",KC, ,593160,2B,145,587,80,169,32,6,19,78,29,88,34,8,.288,.324,.460,.784,0,6,1,7,270,57,13,152,199,0.76,2369,630
38,39," Cruz, N",SEA, ,443558,DH,155,556,91,160,28,0,39,119,70,140,1,1,.288,.375,.549,.924,7,12,0,7,305,67,15,138,140,0.99,2474,645
39,40," Panik, J",SF, ,605412,2B,138,511,60,147,28,5,10,53,46,54,4,1,.288,.347,.421,.768,4,5,3,8,215,43,10,167,164,1.02,2182,573
40,41," Gregorius, D",NYY, ,544369,SS,136,534,73,153,27,0,25,87,25,70,3,1,.287,.318,.478,.796,1,3,0,7,255,52,7,135,190,0.71,2069,570
41,42," Cabrera, M",KC, ,466320,RF,156,620,78,177,30,2,17,85,36,74,1,2,.285,.324,.423,.746,1,2,2,6,262,49,19,235,161,1.46,2421,666
42,43," Phillips, B",LAA, ,408252,2B,144,572,81,163,34,1,13,60,21,73,11,8,.285,.319,.416,.735,1,8,2,1,238,48,21,221,139,1.59,2108,604
43,44," Jones, A",BAL, ,430945,CF,147,597,82,170,28,1,26,73,27,113,2,1,.285,.322,.466,.787,1,7,1,3,278,55,18,181,155,1.17,2285,635
44,45," Bregman, A",HOU, ,608324,3B,155,556,88,158,39,5,19,71,55,97,17,5,.284,.352,.475,.827,2,7,1,7,264,63,15,148,176,0.84,2302,626
45,46," Judge, A",NYY, ,592450,RF,155,542,128,154,24,3,52,114,127,208,9,4,.284,.422,.627,1.049,11,5,0,4,340,79,15,100,99,1.01,2989,678
46,47," Springer, G",HOU, ,543807,CF,140,548,112,155,29,0,34,85,64,111,5,7,.283,.367,.522,.889,1,11,0,4,286,63,11,167,130,1.28,2550,629
47,48," Yelich, C",MIA, ,592885,CF,156,602,100,170,36,2,18,81,80,137,16,2,.282,.369,.439,.807,4,6,0,6,264,56,13,199,115,1.73,2883,695
48,49," Dickerson, C",TB, ,572816,LF,150,588,84,166,33,4,27,62,35,152,4,3,.282,.325,.490,.815,6,3,0,2,288,64,11,141,142,0.99,2493,629
49,50," Stanton, G",MIA, ,519317,RF,159,597,123,168,32,0,59,132,85,163,2,2,.281,.376,.631,1.007,13,7,0,3,377,91,13,165,117,1.41,2736,692
