,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1," Altuve, J",HOU, ,514888,2B,153,590,112,204,39,4,24,81,58,84,32,6,.346,.410,.547,.957,3,9,1,4,323,67,19,179,147,1.22,2308,662
1,2," Blackmon, C",COL, ,453568,CF,159,644,137,213,35,14,37,104,65,135,14,10,.331,.399,.601,1.000,9,10,3,3,387,86,4,153,153,1.00,2884,725
2,3," Garcia, A",CWS, ,541645,RF,136,518,75,171,27,5,18,80,33,111,5,3,.330,.380,.506,.885,5,9,0,1,262,50,14,150,101,1.49,1995,561
3,4," Murphy, D",WSH, ,502517,2B,144,534,94,172,43,3,23,93,52,77,2,0,.322,.384,.543,.928,14,4,0,3,290,69,16,125,179,0.70,2174,593
4,5," Turner, J",LAD, ,457759,3B,130,457,72,147,32,0,21,71,59,56,7,1,.322,.415,.530,.945,5,19,1,7,242,53,12,109,165,0.66,2030,543
5,6," Votto, J",CIN, ,458015,1B,162,559,106,179,34,1,36,100,134,83,5,1,.320,.454,.578,1.032,20,8,0,6,323,71,16,161,158,1.02,2732,707
6,7," Posey, B",SF, ,457763,C,140,494,62,158,34,0,12,67,61,66,6,1,.320,.400,.462,.861,13,8,0,5,228,46,17,157,135,1.16,2073,568
7,8," Hosmer, E",KC, ,543333,1B,162,603,98,192,31,1,25,94,66,104,6,1,.318,.385,.498,.882,3,0,0,2,300,57,20,226,103,2.19,2573,671
8,9," Ramirez, J",CLE, ,608070,3B,152,585,107,186,56,6,29,83,52,69,17,5,.318,.374,.583,.957,5,3,0,5,341,91,13,167,181,0.92,2576,645
9,10," Reddick, J",HOU, ,502210,RF,134,477,77,150,34,4,13,82,43,72,7,3,.314,.363,.484,.847,1,0,1,12,231,51,9,108,169,0.64,2037,540
10,11," Ozuna, M",MIA, ,542303,LF,159,613,93,191,30,2,37,124,64,144,1,3,.312,.376,.548,.924,4,0,0,2,336,69,18,165,133,1.24,2560,679
11,12," LeMahieu, D",COL, ,518934,2B,155,609,95,189,28,4,8,64,59,90,6,5,.310,.374,.409,.783,1,6,3,5,249,40,24,247,115,2.15,2676,682
12,13," Arenado, N",COL, ,571448,3B,159,606,100,187,43,7,37,130,62,106,3,2,.309,.373,.586,.959,9,4,1,6,355,87,21,151,190,0.79,2627,680
